				N	%N	O	%O	W	%W	IRI
		Dentex sp. 6	0.6[0-2.97]				http://purl.obolibrary.org/obo/RO_0002444	parasite of			Fungia (Cycloseris) costulata										10.1007/s13127-011-0039-1		Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
		Leptoconchus infungites					http://purl.obolibrary.org/obo/RO_0002444	parasite of			Fungia (Fungia) fungites										10.1007/s13127-011-0039-1		Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
		Leptoconchus ingrandifungi					http://purl.obolibrary.org/obo/RO_0002444	parasite of			Sandalolitha dentata										10.1007/s13127-011-0039-1		Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
		Leptoconchus ingranulosa					http://purl.obolibrary.org/obo/RO_0002444	parasite of			Fungia (Wellsofungia) granulosa										10.1007/s13127-011-0039-1		Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
		Leptoconchus inlimax					http://purl.obolibrary.org/obo/RO_0002444	parasite of			Herpolitha limax										10.1007/s13127-011-0039-1		Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
		Leptoconchus inpileus					http://purl.obolibrary.org/obo/RO_0002444	parasite of			Halomitra pileus										10.1007/s13127-011-0039-1		Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
		Leptoconchus inpleuractis					http://purl.obolibrary.org/obo/RO_0002444	parasite of			Fungia (Pleuractis) gravis										10.1007/s13127-011-0039-1		Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
		Leptoconchus inpleuractis					http://purl.obolibrary.org/obo/RO_0002444	parasite of			Fungia (Pleuractis) moluccensis										10.1007/s13127-011-0039-1		Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
		Leptoconchus inpleuractis					http://purl.obolibrary.org/obo/RO_0002444	parasite of			Fungia (Pleuractis) paumotensis										10.1007/s13127-011-0039-1		Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
		Leptoconchus massini					http://purl.obolibrary.org/obo/RO_0002444	parasite of			Fungia (Verrillofungia) concinna										10.1007/s13127-011-0039-1		Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
		Leptoconchus massini					http://purl.obolibrary.org/obo/RO_0002444	parasite of			Fungia (Verrillofungia) repanda										10.1007/s13127-011-0039-1		Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1
